label,Born in USA,Citizen by Naturalization,Not a Citizen,Born Abroad,total,
2023,624971,72601,81320,13533,792425,
2022,610801,70955,79476,13226,774458,
2021,596951,69346,77674,12926,756898,
2020,583416,67774,75913,12633,739736,0.023310762
2019,574259,66041,69978,12607,722885,0.022235389
2018,563960,64716,66138,12347,707161,0.030073633
2017,550129,62466,61453,12467,686515,0.029523355
2016,533763,61170,59552,12343,666828,0.024036512
2015,521002,60776,57449,11949,651176,0.024014593
2014,509514,59685,55021,11685,635905,0.020876512
2013,501115,57989,52507,11290,622901,0.019099287
2012,492994,57650,49708,10875,611227,0.016130695
2011,485269,55164,50344,10747,601524,
